ax,ay,az
14580,108,6912
14496,32,6940
14544,-8,6852
14588,48,6928
14660,-44,6952
14504,16,6880
14624,68,7056
14456,52,6892
14452,-32,7080
14472,80,6920
14548,64,6892
14504,12,6984
14504,108,6852
14432,84,6800
14496,-24,7024
14460,224,7016
14396,68,6796
14480,152,6908
14328,164,6920
14412,168,6996
14548,132,7176
14476,112,7084
14504,16,7040
14588,140,6956
14456,36,6824
14540,68,7036
14636,152,6924
14544,64,7068
14548,16,6916
14556,-12,7008
14508,-56,6920
14452,40,6936
14592,16,6996
